url,id,collectionId,name,locationTypeName
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3233","3233","rise","Santa Ynez River below Lake Cachuma","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3234","3234","rise","Carson River below Lahontan Dam","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3235","3235","rise","Sacramento River below Shasta Dam","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3236","3236","rise","Klamath River at Keno Bridge","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3237","3237","rise","American River at Rainbow Bridge","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3238","3238","rise","Klamath Straits Drain at Highway 161","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3239","3239","rise","Lake Clementine","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3240","3240","rise","American River at Folsom Powerhouse","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3241","3241","rise","Folsom South Canal at Florin Road","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3242","3242","rise","Delta Mendota Canal at Bass Avenue","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3243","3243","rise","Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 1","Well"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3244","3244","rise","Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 2","Well"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3245","3245","rise","Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 3","Well"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3246","3246","rise","Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 4","Well"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3247","3247","rise","Brackish Groundwater National Desalination Research Facility (BGNDRF)","Building"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3248","3248","rise","Alcova Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3249","3249","rise","Anderson Ranch Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3250","3250","rise","Big Thompson Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3251","3251","rise","Black Canyon Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3252","3252","rise","Blue Mesa Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3253","3253","rise","Boise River Diversion Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3254","3254","rise","Boysen Power Plant","Power Plant"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3255","3255","rise","Buffalo Bill Power Plant","Power Plant"
